"","artist","num_words","num_unique_words","per_unique"
"863","akdong-musician",567,260,0.458553791887125
"864","akeboshi",742,225,0.303234501347709
"865","akecocke",1230,548,0.445528455284553
"866","akeel-almas",125,83,0.664
"867","akemi-satou",267,153,0.573033707865168
"868","akercocke",928,421,0.453663793103448
"869","akhenaton",8331,2605,0.312687552514704
"870","akhil",202,95,0.47029702970297
"871","aki-okui",183,108,0.590163934426229
"872","akiko",1203,355,0.295095594347465
"873","akin",2183,733,0.335776454420522
"874","akino-with-bless4",234,131,0.55982905982906
"875","akinyele",19198,3175,0.165381810605271
"876","akira-yamaoka",2085,517,0.247961630695444
"877","akissforjersey",257,136,0.529182879377432
"878","akmal-eyzad",64,35,0.546875
"879","aknestik",164,80,0.48780487804878
"880","akon",121219,5756,0.0474843052656762
"881","akos",11356,2435,0.21442409299049
"882","aksu-sezen",891,350,0.392817059483726
"883","akuna-art",275,99,0.36
"884","akwid",534,211,0.395131086142322
"885","akxiis",218,77,0.353211009174312
"886","al-anderson",540,186,0.344444444444444
"887","al-axy",250,146,0.584
"888","al-b-sure",6676,853,0.127771120431396
"889","al-bano",743,266,0.358008075370121
"890","al-blaze",313,152,0.485623003194888
"891","al-bowlly",71,45,0.633802816901408
"892","al-bundy",422,169,0.400473933649289
"893","al-cohn",178,73,0.410112359550562
